MonthStart,DepartmentID,BudgetAmount,Currency
01/12/2023,6,120556,USD
01/01/2024,1,410205,USD
01/01/2024,2,158033,USD
01/01/2024,3,238974,USD
01/01/2024,4,213982,USD
01/01/2024,5,93976,USD
01/01/2024,6,115471,USD
01/02/2024,1,432414,USD
01/02/2024,2,163219,USD
01/02/2024,3,239790,USD
01/02/2024,4,198306,USD
01/02/2024,5,96383,USD
01/02/2024,6,127468,USD
01/03/2024,1,391071,USD
01/03/2024,2,147210,USD
01/03/2024,3,251392,USD
01/03/2024,4,204535,USD
01/03/2024,5,93846,USD
01/03/2024,6,120640,USD
01/04/2024,1,407752,USD
01/04/2024,2,159318,USD
01/04/2024,3,238875,USD
01/04/2024,4,197573,USD
01/04/2024,5,95130,USD
01/04/2024,6,130113,USD
01/05/2024,1,410700,USD
01/05/2024,2,154472,USD
01/05/2024,3,241518,USD
01/05/2024,4,203422,USD
01/05/2024,5,92690,USD
01/05/2024,6,118364,USD
01/06/2024,1,396154,USD
01/06/2024,2,150988,USD
01/06/2024,3,238252,USD
01/06/2024,4,199662,USD
01/06/2024,5,88354,USD
01/06/2024,6,119894,USD
01/07/2024,1,387185,USD
01/07/2024,2,162536,USD
01/07/2024,3,259759,USD
01/07/2024,4,210373,USD
01/07/2024,5,96153,USD
01/07/2024,6,122971,USD
01/08/2024,1,385215,USD
01/08/2024,2,154584,USD
01/08/2024,3,259506,USD
01/08/2024,4,212363,USD
01/08/2024,5,91327,USD
01/08/2024,6,116296,USD
01/09/2024,1,397026,USD
01/09/2024,2,150669,USD
01/09/2024,3,261721,USD
01/09/2024,4,207123,USD
01/09/2024,5,90307,USD
01/09/2024,6,131757,USD
01/10/2024,1,416346,USD
01/10/2024,2,147837,USD
01/10/2024,3,241316,USD
01/10/2024,4,194585,USD
01/10/2024,5,88820,USD
01/10/2024,6,116892,USD
01/11/2024,1,391194,USD
01/11/2024,2,148914,USD
01/11/2024,3,244001,USD
01/11/2024,4,216902,USD
01/11/2024,5,86583,USD
01/11/2024,6,123441,USD
01/12/2024,1,404623,USD
01/12/2024,2,164603,USD
01/12/2024,3,241701,USD
01/12/2024,4,201935,USD
01/12/2024,5,98587,USD
01/12/2024,6,129579,USD
