MonthStart,DepartmentID,ProjectID,AccountCategory,AccountSubCategory,Amount,Currency
01/08/2023,2,5,Expense,Marketing Expense,117163,USD
01/08/2023,3,1,Expense,R&D Expense,205353,USD
01/08/2023,4,2,Revenue,Sales Revenue,889944,USD
01/08/2023,4,2,Expense,Operations Expense,190417,USD
01/08/2023,5,2,Expense,HR Expense,101760,USD
01/08/2023,6,2,Expense,Finance Expense,114600,USD
01/09/2023,1,2,Revenue,Sales Revenue,256958,USD
01/09/2023,1,2,Expense,Sales Expense,166099,USD
01/09/2023,2,2,Revenue,Sales Revenue,376089,USD
01/09/2023,2,2,Expense,Marketing Expense,143556,USD
01/09/2023,3,1,Expense,R&D Expense,190929,USD
01/09/2023,4,5,Revenue,Sales Revenue,730089,USD
01/09/2023,4,5,Expense,Operations Expense,220274,USD
01/09/2023,5,3,Expense,HR Expense,80198,USD
01/09/2023,6,5,Expense,Finance Expense,93263,USD
01/10/2023,1,1,Revenue,Sales Revenue,982355,USD
01/10/2023,1,1,Expense,Sales Expense,173997,USD
01/10/2023,2,4,Revenue,Sales Revenue,812210,USD
01/10/2023,2,4,Expense,Marketing Expense,124223,USD
01/10/2023,3,4,Expense,R&D Expense,226309,USD
01/10/2023,4,3,Revenue,Sales Revenue,293848,USD
01/10/2023,4,3,Expense,Operations Expense,173162,USD
01/10/2023,5,5,Expense,HR Expense,98845,USD
01/10/2023,6,2,Expense,Finance Expense,91220,USD
01/11/2023,1,4,Revenue,Sales Revenue,270313,USD
01/11/2023,1,4,Expense,Sales Expense,184356,USD
01/11/2023,2,3,Revenue,Sales Revenue,661243,USD
01/11/2023,2,3,Expense,Marketing Expense,123679,USD
01/11/2023,3,5,Expense,R&D Expense,201723,USD
01/11/2023,4,4,Revenue,Sales Revenue,576836,USD
01/11/2023,4,4,Expense,Operations Expense,194923,USD
01/11/2023,5,5,Expense,HR Expense,78220,USD
01/11/2023,6,3,Expense,Finance Expense,115497,USD
01/12/2023,1,4,Revenue,Sales Revenue,960463,USD
01/12/2023,1,4,Expense,Sales Expense,193551,USD
01/12/2023,2,4,Revenue,Sales Revenue,422866,USD
01/12/2023,2,4,Expense,Marketing Expense,146168,USD
01/12/2023,3,3,Expense,R&D Expense,215117,USD
01/12/2023,4,2,Revenue,Sales Revenue,232217,USD
01/12/2023,4,2,Expense,Operations Expense,231310,USD
01/12/2023,5,1,Expense,HR Expense,94031,USD
01/12/2023,6,1,Expense,Finance Expense,96931,USD
01/01/2024,1,1,Revenue,Sales Revenue,377247,USD
01/01/2024,1,1,Expense,Sales Expense,167953,USD
01/01/2024,2,1,Revenue,Sales Revenue,376615,USD
01/01/2024,2,1,Expense,Marketing Expense,152861,USD
01/01/2024,3,1,Expense,R&D Expense,256389,USD
01/01/2024,4,5,Revenue,Sales Revenue,837717,USD
01/01/2024,4,5,Expense,Operations Expense,214562,USD
01/01/2024,5,3,Expense,HR Expense,79927,USD
01/01/2024,6,3,Expense,Finance Expense,120313,USD
01/02/2024,1,1,Revenue,Sales Revenue,555612,USD
01/02/2024,1,1,Expense,Sales Expense,141964,USD
01/02/2024,2,5,Revenue,Sales Revenue,899438,USD
01/02/2024,2,5,Expense,Marketing Expense,109954,USD
01/02/2024,3,4,Expense,R&D Expense,194026,USD
01/02/2024,4,2,Revenue,Sales Revenue,976665,USD
01/02/2024,4,2,Expense,Operations Expense,197396,USD
01/02/2024,5,4,Expense,HR Expense,77542,USD
01/02/2024,6,5,Expense,Finance Expense,105940,USD
01/03/2024,1,2,Revenue,Sales Revenue,934965,USD
01/03/2024,1,2,Expense,Sales Expense,173105,USD
01/03/2024,2,2,Revenue,Sales Revenue,850419,USD
01/03/2024,2,2,Expense,Marketing Expense,125981,USD
01/03/2024,3,2,Expense,R&D Expense,254674,USD
01/03/2024,4,1,Revenue,Sales Revenue,504119,USD
01/03/2024,4,1,Expense,Operations Expense,209425,USD
01/03/2024,5,4,Expense,HR Expense,91707,USD
01/03/2024,6,2,Expense,Finance Expense,91060,USD
01/04/2024,1,3,Revenue,Sales Revenue,921747,USD
01/04/2024,1,3,Expense,Sales Expense,169528,USD
01/04/2024,2,2,Revenue,Sales Revenue,736226,USD
01/04/2024,2,2,Expense,Marketing Expense,138877,USD
01/04/2024,3,1,Expense,R&D Expense,244896,USD
01/04/2024,4,3,Revenue,Sales Revenue,451492,USD
01/04/2024,4,3,Expense,Operations Expense,207067,USD
01/04/2024,5,1,Expense,HR Expense,102758,USD
01/04/2024,6,2,Expense,Finance Expense,98267,USD
01/05/2024,1,5,Revenue,Sales Revenue,308940,USD
01/05/2024,1,5,Expense,Sales Expense,147875,USD
01/05/2024,2,2,Revenue,Sales Revenue,821820,USD
01/05/2024,2,2,Expense,Marketing Expense,112533,USD
01/05/2024,3,3,Expense,R&D Expense,206924,USD
01/05/2024,4,2,Revenue,Sales Revenue,749639,USD
01/05/2024,4,2,Expense,Operations Expense,189748,USD
01/05/2024,5,2,Expense,HR Expense,72744,USD
01/05/2024,6,2,Expense,Finance Expense,100427,USD
01/06/2024,1,4,Revenue,Sales Revenue,282745,USD
01/06/2024,1,4,Expense,Sales Expense,176804,USD
01/06/2024,2,5,Revenue,Sales Revenue,735626,USD
01/06/2024,2,5,Expense,Marketing Expense,150118,USD
01/06/2024,3,4,Expense,R&D Expense,213435,USD
01/06/2024,4,5,Revenue,Sales Revenue,423992,USD
01/06/2024,4,5,Expense,Operations Expense,201453,USD
01/06/2024,5,5,Expense,HR Expense,96019,USD
01/06/2024,6,3,Expense,Finance Expense,129620,USD
01/07/2024,1,4,Revenue,Sales Revenue,270640,USD
01/07/2024,1,4,Expense,Sales Expense,181584,USD
01/07/2024,2,5,Revenue,Sales Revenue,506955,USD
01/07/2024,2,5,Expense,Marketing Expense,128591,USD
01/07/2024,3,5,Expense,R&D Expense,239192,USD
01/07/2024,4,3,Revenue,Sales Revenue,614568,USD
01/07/2024,4,3,Expense,Operations Expense,189196,USD
01/07/2024,5,1,Expense,HR Expense,88168,USD
01/07/2024,6,1,Expense,Finance Expense,102801,USD
01/08/2024,1,3,Revenue,Sales Revenue,764242,USD
01/08/2024,1,3,Expense,Sales Expense,158352,USD
01/08/2024,2,4,Revenue,Sales Revenue,395004,USD
01/08/2024,2,4,Expense,Marketing Expense,151458,USD
01/08/2024,3,4,Expense,R&D Expense,208392,USD
01/08/2024,4,4,Revenue,Sales Revenue,675853,USD
01/08/2024,4,4,Expense,Operations Expense,210727,USD
01/08/2024,5,4,Expense,HR Expense,90350,USD
01/08/2024,6,5,Expense,Finance Expense,93668,USD
01/09/2024,1,4,Revenue,Sales Revenue,420184,USD
01/09/2024,1,4,Expense,Sales Expense,168222,USD
01/09/2024,2,5,Revenue,Sales Revenue,961315,USD
01/09/2024,2,5,Expense,Marketing Expense,153417,USD
01/09/2024,3,1,Expense,R&D Expense,189077,USD
01/09/2024,4,5,Revenue,Sales Revenue,352617,USD
01/09/2024,4,5,Expense,Operations Expense,232145,USD
01/09/2024,5,2,Expense,HR Expense,86128,USD
01/09/2024,6,5,Expense,Finance Expense,104036,USD
01/10/2024,1,2,Revenue,Sales Revenue,827438,USD
01/10/2024,1,2,Expense,Sales Expense,143579,USD
01/10/2024,2,2,Revenue,Sales Revenue,413945,USD
01/10/2024,2,2,Expense,Marketing Expense,137674,USD
01/10/2024,3,5,Expense,R&D Expense,247078,USD
01/10/2024,4,5,Revenue,Sales Revenue,905703,USD
01/10/2024,4,5,Expense,Operations Expense,167238,USD
01/10/2024,5,2,Expense,HR Expense,100540,USD
01/10/2024,6,2,Expense,Finance Expense,93253,USD
01/11/2024,1,5,Revenue,Sales Revenue,516837,USD
01/11/2024,1,5,Expense,Sales Expense,194198,USD
01/11/2024,2,5,Revenue,Sales Revenue,357504,USD
01/11/2024,2,5,Expense,Marketing Expense,150257,USD
01/11/2024,3,1,Expense,R&D Expense,255779,USD
01/11/2024,4,1,Revenue,Sales Revenue,594540,USD
01/11/2024,4,1,Expense,Operations Expense,216243,USD
01/11/2024,5,4,Expense,HR Expense,74672,USD
01/11/2024,6,5,Expense,Finance Expense,105119,USD
01/12/2024,1,3,Revenue,Sales Revenue,648345,USD
01/12/2024,1,3,Expense,Sales Expense,154815,USD
01/12/2024,2,3,Revenue,Sales Revenue,286188,USD
01/12/2024,2,3,Expense,Marketing Expense,108544,USD
01/12/2024,3,4,Expense,R&D Expense,225717,USD
01/12/2024,4,4,Revenue,Sales Revenue,911131,USD
01/12/2024,4,4,Expense,Operations Expense,217238,USD
01/12/2024,5,1,Expense,HR Expense,95814,USD
01/12/2024,6,3,Expense,Finance Expense,113334,USD
